,Label,Section Name,Section Number,Question Number,Column,Type of Variable,SAS Variable Name,Question Prologue,Valid Values,Question,Core Section Number,Module Number
PDIABTS1,When was your last blood test for high blood sugar?,Pre-Diabetes,,1,269,Num,PDIABTS1,"Question:  When was the last time you had a blood test for high blood sugar or diabetes by a doctor, nurse, or other health professional?","{'1': {'Value Label': 'Within the past year (anytime less than 12 months ago)', 'Frequency': '89,696', 'Percentage': '63.96', 'Weighted Percentage': '58.70'}, '2': {'Value Label': 'Within the past 2 years (1 year but less than 2 years)', 'Frequency': '13,615', 'Percentage': '9.71', 'Weighted Percentage': '10.36'}, '3': {'Value Label': 'Within the past 3 years (2 years but less than 3 years)', 'Frequency': '5,312', 'Percentage': '3.79', 'Weighted Percentage': '4.41'}, '4': {'Value Label': 'Within the past 5 years (3 to 4 years but less than 5 years ago)', 'Frequency': '4,475', 'Percentage': '3.19', 'Weighted Percentage': '3.61'}, '5': {'Value Label': 'Within the past 10 years (5 to 9 years but less than 10 years ago)', 'Frequency': '2,856', 'Percentage': '2.04', 'Weighted Percentage': '2.26'}, '6': {'Value Label': '10 or more years ago', 'Frequency': '2,555', 'Percentage': '1.82', 'Weighted Percentage': '1.98'}, '7': {'Value Label': 'Don\x92t know / Not sure', 'Frequency': '8,762', 'Percentage': '6.25', 'Weighted Percentage': '6.98'}, '8': {'Value Label': 'Never', 'Frequency': '12,758', 'Percentage': '9.10', 'Weighted Percentage': '11.57'}, '9': {'Value Label': 'Refused', 'Frequency': '219', 'Percentage': '0.16', 'Weighted Percentage': '0.13'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: Section 07.12, DIABETE4, is coded 1', 'Frequency': '304,884', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,1
PREDIAB2,Ever been told by a doctor or other health professional that you have pre-diabetes or borderline diabetes?,Pre-Diabetes,,2,270,Num,PREDIAB2,"Question:  Has a doctor or other health professional ever told you that you had prediabetes or borderline diabetes?  (If Yes and respondent is female, ask: Was this only when you were pregnant?)","{'1': {'Value Label': 'Yes', 'Frequency': '19,361', 'Percentage': '13.81', 'Weighted Percentage': '11.98'}, '2': {'Value Label': 'Yes, during pregnancy', 'Frequency': '1,504', 'Percentage': '1.07', 'Weighted Percentage': '1.25'}, '3': {'Value Label': 'No', 'Frequency': '118,648', 'Percentage': '84.61', 'Weighted Percentage': '86.25'}, '7': {'Value Label': 'Don\x92t know/Not Sure', 'Frequency': '588', 'Percentage': '0.42', 'Weighted Percentage': '0.44'}, '9': {'Value Label': 'Refused', 'Frequency': '121', 'Percentage': '0.09', 'Weighted Percentage': '0.09'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: Section 07.12, DIABETE4, is coded 1; If Section 07.12, DIABETE4, is coded 4 automatically code Module 01.02, PREDIAB2, equal to 1 (yes);', 'Frequency': '304,910', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,1
DIABTYPE,What type of diabetes do you have?,Diabetes,,1,271,Num,DIABTYPE,"Question:  According to your doctor or other health professional, what type of diabetes do you have?","{'1': {'Value Label': 'Type 1', 'Frequency': '1,050', 'Percentage': '8.33', 'Weighted Percentage': '9.98'}, '2': {'Value Label': 'Type 2', 'Frequency': '10,559', 'Percentage': '83.80', 'Weighted Percentage': '81.48'}, '7': {'Value Label': 'Don\x92t know/Not Sure', 'Frequency': '966', 'Percentage': '7.67', 'Weighted Percentage': '8.29'}, '9': {'Value Label': 'Refused', 'Frequency': '25', 'Percentage': '0.20', 'Weighted Percentage': '0.24'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: Section 07.12, DIABETE4, is coded 2, 3, 4, 7, 9, or Missing', 'Frequency': '432,532', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,2
INSULIN1,Now Taking Insulin,Diabetes,,2,272,Num,INSULIN1,Question:  Are you now taking insulin?,"{'1': {'Value Label': 'Yes', 'Frequency': '4,178', 'Percentage': '33.16', 'Weighted Percentage': '34.00'}, '2': {'Value Label': 'No', 'Frequency': '8,368', 'Percentage': '66.41', 'Weighted Percentage': '65.52'}, '7': {'Value Label': 'Don\x92t know/Not Sure', 'Frequency': '43', 'Percentage': '0.34', 'Weighted Percentage': '0.42'}, '9': {'Value Label': 'Refused', 'Frequency': '11', 'Percentage': '0.09', 'Weighted Percentage': '0.06'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: Section 07.12, DIABETE4, is coded 2, 3, 4, 7, 9, or Missing', 'Frequency': '432,532', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,2
CHKHEMO3,Times Checked for Glycosylated Hemoglobin,Diabetes,,3,273-274,Num,CHKHEMO3,"Question:  About how many times in the past 12 months has a doctor, nurse, or other health professional checked you for A-one-C?","{'1 - 76': {'Value Label': 'Number of times  [76=76 or more]\nNotes: _ _ Number of times, 76 = 76 or more', 'Frequency': '11,247', 'Percentage': '89.26', 'Weighted Percentage': '86.84'}, '88': {'Value Label': 'None', 'Frequency': '561', 'Percentage': '4.45', 'Weighted Percentage': '6.15'}, '98': {'Value Label': 'Never heard of \x93A one C\x94 test', 'Frequency': '79', 'Percentage': '0.63', 'Weighted Percentage': '0.71'}, '77': {'Value Label': 'Don\x92t know/Not sure', 'Frequency': '662', 'Percentage': '5.25', 'Weighted Percentage': '5.91'}, '99': {'Value Label': 'Refused', 'Frequency': '51', 'Percentage': '0.40', 'Weighted Percentage': '0.39'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: Section 07.12, DIABETE4, is coded 2, 3, 4, 7, 9, or Missing', 'Frequency': '432,532', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,2
EYEEXAM1,Last Eye Exam Where Pupils Were Dilated,Diabetes,,4,275,Num,EYEEXAM1,"Question:  When was the last time you had an eye exam in which the pupils were dilated, making you temporarily sensitive to bright light?","{'1': {'Value Label': 'Within the past month (anytime less than 1 month ago)', 'Frequency': '3,287', 'Percentage': '26.09', 'Weighted Percentage': '23.98'}, '2': {'Value Label': 'Within the past year (1 month but less than 12 months ago)', 'Frequency': '5,566', 'Percentage': '44.17', 'Weighted Percentage': '42.19'}, '3': {'Value Label': 'Within the past 2 years (1 year but less than 2 years ago)', 'Frequency': '1,577', 'Percentage': '12.52', 'Weighted Percentage': '12.91'}, '4': {'Value Label': '2 or more years ago', 'Frequency': '1,469', 'Percentage': '11.66', 'Weighted Percentage': '13.39'}, '7': {'Value Label': 'Don\x92t know/Not sure', 'Frequency': '272', 'Percentage': '2.16', 'Weighted Percentage': '2.65'}, '8': {'Value Label': 'Never', 'Frequency': '421', 'Percentage': '3.34', 'Weighted Percentage': '4.78'}, '9': {'Value Label': 'Refused', 'Frequency': '8', 'Percentage': '0.06', 'Weighted Percentage': '0.10'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: Section 07.12, DIABETE4, is coded 2, 3, 4, 7, 9, or Missing', 'Frequency': '432,532', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,2
DIABEYE1,When was the last time a they took a photo of the back of your eye?,Diabetes,,5,276,Num,DIABEYE1,"Question:  When was the last time a doctor, nurse or other health professional took a photo of the back of your eye with a specialized camera?","{'1': {'Value Label': 'Within the past month (anytime less than 1 month ago)', 'Frequency': '2,495', 'Percentage': '19.80', 'Weighted Percentage': '18.48'}, '2': {'Value Label': 'Within the past year (1 month but less than 12 months ago)', 'Frequency': '4,710', 'Percentage': '37.38', 'Weighted Percentage': '36.03'}, '3': {'Value Label': 'Within the past 2 years (1 year but less than 2 years ago)', 'Frequency': '1,333', 'Percentage': '10.58', 'Weighted Percentage': '10.83'}, '4': {'Value Label': '2 or more years ago', 'Frequency': '1,293', 'Percentage': '10.26', 'Weighted Percentage': '10.98'}, '7': {'Value Label': 'Don\x92t know/Not sure', 'Frequency': '1,633', 'Percentage': '12.96', 'Weighted Percentage': '12.85'}, '8': {'Value Label': 'Never', 'Frequency': '1,126', 'Percentage': '8.94', 'Weighted Percentage': '10.76'}, '9': {'Value Label': 'Refused', 'Frequency': '10', 'Percentage': '0.08', 'Weighted Percentage': '0.08'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: Section 07.12, DIABETE4, is coded 2, 3, 4, 7, 9, or Missing', 'Frequency': '432,532', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,2
DIABEDU1,When was the last time you took a course or class in how to manage your diabetes?,Diabetes,,6,277,Num,DIABEDU1,Question:  When was the last time you took a course or class in how to manage your diabetes yourself?,"{'1': {'Value Label': 'Within the past year (anytime less than 12 months ago)', 'Frequency': '1,338', 'Percentage': '10.62', 'Weighted Percentage': '11.12'}, '2': {'Value Label': 'Within the last 2 years (1 year but less than 2 years ago)', 'Frequency': '724', 'Percentage': '5.75', 'Weighted Percentage': '6.05'}, '3': {'Value Label': 'Within the last 3 years (2 years but less than 3 years ago)', 'Frequency': '560', 'Percentage': '4.44', 'Weighted Percentage': '4.29'}, '4': {'Value Label': 'Within the last 5 years (3 to 4 years but less than 5 years ago)', 'Frequency': '845', 'Percentage': '6.71', 'Weighted Percentage': '6.83'}, '5': {'Value Label': 'Within the last 10 years (5 to 9 years but less than 10 years ago)', 'Frequency': '792', 'Percentage': '6.29', 'Weighted Percentage': '6.31'}, '6': {'Value Label': '10 years ago or more', 'Frequency': '1,749', 'Percentage': '13.88', 'Weighted Percentage': '12.46'}, '7': {'Value Label': 'Don\x92t know/Not sure', 'Frequency': '613', 'Percentage': '4.87', 'Weighted Percentage': '4.64'}, '8': {'Value Label': 'Never', 'Frequency': '5,953', 'Percentage': '47.25', 'Weighted Percentage': '48.12'}, '9': {'Value Label': 'Refused', 'Frequency': '26', 'Percentage': '0.21', 'Weighted Percentage': '0.18'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: Section 07.12, DIABETE4, is coded 2, 3, 4, 7, 9, or Missing', 'Frequency': '432,532', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,2
FEETSORE,Ever Had Feet Sores or Irritations Lasting More Than Four Weeks,Diabetes,,7,278,Num,FEETSORE,Question:  Have you ever had any sores or irritations on your feet that took more than four weeks to heal?,"{'1': {'Value Label': 'Yes', 'Frequency': '1,151', 'Percentage': '9.13', 'Weighted Percentage': '9.70'}, '2': {'Value Label': 'No', 'Frequency': '11,398', 'Percentage': '90.46', 'Weighted Percentage': '89.88'}, '7': {'Value Label': 'Don\x92t know/Not sure', 'Frequency': '46', 'Percentage': '0.37', 'Weighted Percentage': '0.39'}, '9': {'Value Label': 'Refused', 'Frequency': '5', 'Percentage': '0.04', 'Weighted Percentage': '0.03'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: Section 07.12, DIABETE4, is coded 2, 3, 4, 7, 9, or Missing', 'Frequency': '432,532', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,2
TOLDCFS,Told had Chronic Fatigue Syndrome (CFS) or (Myalgic Encephalomyelitis) ME,ME/CFS,,1,279,Num,TOLDCFS,Question:  Have you ever been told by a doctor or other health professional that you had Chronic Fatigue Syndrome (CFS) or (Myalgic Encephalomyelitis) ME?,"{'BLANK': {'Value Label': 'Not asked or Missing', 'Frequency': '445,132', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,3
HAVECFS,Still have Chronic Fatigue Syndrome or Myalgic Encephalomyelitis,ME/CFS,,2,280,Num,HAVECFS,Question:  Do you still have Chronic Fatigue Syndrome (CFS) or (Myalgic Encephalomyelitis) ME?,"{'BLANK': {'Value Label': 'Not asked or Missing\nNotes: Module 03.01, TOLDCFS, is coded 2, 7, 9, or Missing', 'Frequency': '445,132', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,3
WORKCFS,How many hours a week are you been able to work,ME/CFS,,3,281,Num,WORKCFS,"Question:  Thinking about your CFS or ME, during the past 6 months, how many hours a week on average have you been able to work at a job or business for pay?","{'BLANK': {'Value Label': 'Not asked or Missing\nNotes: Module 03.01, TOLDCFS, is coded 2, 7, 9, or Missing', 'Frequency': '445,132', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,3
IMFVPLA3,Where did you get your last flu shot/vaccine?,Place of Flu Vaccination,,1,282-283,Num,IMFVPLA3,Question:  At what kind of place did you get your last flu shot or vaccine?,"{'1': {'Value Label': 'A doctor´s office or health maintenance organization (HMO)', 'Frequency': '2,753', 'Percentage': '30.44', 'Weighted Percentage': '31.05'}, '2': {'Value Label': 'A health department', 'Frequency': '232', 'Percentage': '2.57', 'Weighted Percentage': '2.47'}, '3': {'Value Label': 'Another type of clinic or health center (a community health center)', 'Frequency': '424', 'Percentage': '4.69', 'Weighted Percentage': '4.60'}, '4': {'Value Label': 'A senior, recreation, or community center', 'Frequency': '48', 'Percentage': '0.53', 'Weighted Percentage': '0.36'}, '5': {'Value Label': 'A store (supermarket, drug store)', 'Frequency': '4,389', 'Percentage': '48.53', 'Weighted Percentage': '46.54'}, '6': {'Value Label': 'A hospital (inpatient or outpatient)', 'Frequency': '413', 'Percentage': '4.57', 'Weighted Percentage': '5.19'}, '7': {'Value Label': 'An emergency room', 'Frequency': '4', 'Percentage': '0.04', 'Weighted Percentage': '0.04'}, '8': {'Value Label': 'Workplace', 'Frequency': '410', 'Percentage': '4.53', 'Weighted Percentage': '5.00'}, '9': {'Value Label': 'Some other kind of place', 'Frequency': '218', 'Percentage': '2.41', 'Weighted Percentage': '2.41'}, '10': {'Value Label': 'A school', 'Frequency': '58', 'Percentage': '0.64', 'Weighted Percentage': '1.24'}, '11': {'Value Label': 'A drive though location at some other place than listed above', 'Frequency': '33', 'Percentage': '0.36', 'Weighted Percentage': '0.35'}, '77': {'Value Label': 'Don\x92t know / Not sure', 'Frequency': '53', 'Percentage': '0.59', 'Weighted Percentage': '0.64'}, '99': {'Value Label': 'Refused', 'Frequency': '8', 'Percentage': '0.09', 'Weighted Percentage': '0.13'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: Section 15.01, FLUSHOT7, is coded 2, 7, or 9', 'Frequency': '436,089', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,4
HPVADVC4,Have you ever had an H.P.V. vaccination?,HPV Vaccination,,1,284,Num,HPVADVC4,Question:  Have you ever had an H.P.V. vaccination?,"{'1': {'Value Label': 'Yes', 'Frequency': '1,676', 'Percentage': '22.82', 'Weighted Percentage': '25.50'}, '2': {'Value Label': 'No\x97Go to Next Module', 'Frequency': '4,797', 'Percentage': '65.30', 'Weighted Percentage': '60.77'}, '3': {'Value Label': 'Doctor refused when asked\x97Go to Next Module', 'Frequency': '8', 'Percentage': '0.11', 'Weighted Percentage': '0.02'}, '7': {'Value Label': 'Don\x92t know/Not Sure\x97Go to Next Module', 'Frequency': '851', 'Percentage': '11.58', 'Weighted Percentage': '13.44'}, '9': {'Value Label': 'Refused\x97Go to Next Module', 'Frequency': '14', 'Percentage': '0.19', 'Weighted Percentage': '0.28'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: Section 08.01, AGE, is greater than 49;', 'Frequency': '437,786', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,5
HPVADSHT,How many HPV shots did you receive?,HPV Vaccination,,2,285-286,Num,HPVADSHT,Question:  How many HPV shots did you receive?,"{'1 - 2': {'Value Label': 'Number of shots', 'Frequency': '706', 'Percentage': '42.22', 'Weighted Percentage': '43.07'}, '3': {'Value Label': 'All shots', 'Frequency': '632', 'Percentage': '37.80', 'Weighted Percentage': '32.67'}, '77': {'Value Label': 'Don\x92t know/Not Sure', 'Frequency': '329', 'Percentage': '19.68', 'Weighted Percentage': '24.04'}, '99': {'Value Label': 'Refused', 'Frequency': '5', 'Percentage': '0.30', 'Weighted Percentage': '0.22'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: Section 08.01, AGE is greater than 49; or Module 5.01, HPVADVC4, is coded 2, 3, 7, 9 or Missing', 'Frequency': '443,460', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,5
SHINGLE2,Have you ever had the shingles or zoster vaccine?,Shingles Vaccination,,1,287,Num,SHINGLE2,Question:  Have you ever had the shingles or zoster vaccine?,"{'1': {'Value Label': 'Yes', 'Frequency': '6,561', 'Percentage': '44.52', 'Weighted Percentage': '39.14'}, '2': {'Value Label': 'No', 'Frequency': '7,943', 'Percentage': '53.90', 'Weighted Percentage': '59.06'}, '7': {'Value Label': 'Don\x92t know/Not Sure', 'Frequency': '220', 'Percentage': '1.49', 'Weighted Percentage': '1.66'}, '9': {'Value Label': 'Refused', 'Frequency': '13', 'Percentage': '0.09', 'Weighted Percentage': '0.14'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: Section 08.01, AGE, is less than 50;', 'Frequency': '430,395', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,6
COVIDVA1,Received at least one COVID-19 vaccination,COVID Vaccination,,1,288,Num,COVIDVA1,Question:  Have you received at least one dose of a  COVID-19 vaccination?,"{'1': {'Value Label': 'Yes\x97Go to Module 07.03 COVIDNU1', 'Frequency': '124,818', 'Percentage': '81.56', 'Weighted Percentage': '78.12'}, '2': {'Value Label': 'No', 'Frequency': '27,011', 'Percentage': '17.65', 'Weighted Percentage': '21.07'}, '7': {'Value Label': 'Don\x92t know/Not sure\x97Go to Next Module', 'Frequency': '319', 'Percentage': '0.21', 'Weighted Percentage': '0.17'}, '9': {'Value Label': 'Refused\x97Go to Next Module', 'Frequency': '895', 'Percentage': '0.58', 'Weighted Percentage': '0.65'}, 'BLANK': {'Value Label': 'Not asked or Missing', 'Frequency': '292,089', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,7
COVACGET,Will you get COVID-19 vaccination?,COVID Vaccination,,2,289,Num,COVACGET,"Question:  Would you say you would definitely get a vaccine, probably get a vaccine, probably not get a vaccine, definitely not get a vaccine, or are not sure?","{'1': {'Value Label': 'Will definitely get a vaccine\x97Go to Next Module', 'Frequency': '664', 'Percentage': '2.19', 'Weighted Percentage': '2.79'}, '2': {'Value Label': 'Will probably get a vaccine\x97Go to Next Module', 'Frequency': '1,239', 'Percentage': '4.09', 'Weighted Percentage': '5.72'}, '3': {'Value Label': 'Will probably not get a vaccine\x97Go to Next Module', 'Frequency': '5,345', 'Percentage': '17.64', 'Weighted Percentage': '18.13'}, '4': {'Value Label': 'Will definitely not get a vaccine\x97Go to Next Module', 'Frequency': '18,369', 'Percentage': '60.63', 'Weighted Percentage': '55.80'}, '7': {'Value Label': 'Don\x92t know/Not sure\x97Go to Next Module', 'Frequency': '4,483', 'Percentage': '14.80', 'Weighted Percentage': '17.07'}, '9': {'Value Label': 'Refused\x97Go to Next Module', 'Frequency': '195', 'Percentage': '0.64', 'Weighted Percentage': '0.49'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: Module 07.01, COVIDVA1, is 1, 7, 9 or missing', 'Frequency': '414,837', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,7
COVIDNU1,Number of COVID-19 vaccinations received,COVID Vaccination,,3,290,Num,COVIDNU1,Question:  How many COVID-19 vaccinations have you received?,"{'1': {'Value Label': 'One', 'Frequency': '6,712', 'Percentage': '5.38', 'Weighted Percentage': '6.48'}, '2': {'Value Label': 'Two\x97Go to Module 07.05 COVIDFS1', 'Frequency': '36,926', 'Percentage': '29.60', 'Weighted Percentage': '34.94'}, '3': {'Value Label': 'Three\x97Go to Module 07.05 COVIDFS1', 'Frequency': '57,488', 'Percentage': '46.08', 'Weighted Percentage': '44.52'}, '4': {'Value Label': 'Four or more\x97Go to Module 07.05 COVIDFS1', 'Frequency': '23,051', 'Percentage': '18.48', 'Weighted Percentage': '13.63'}, '7': {'Value Label': 'Don\x92t know/Not sure', 'Frequency': '446', 'Percentage': '0.36', 'Weighted Percentage': '0.32'}, '9': {'Value Label': 'Refused', 'Frequency': '124', 'Percentage': '0.10', 'Weighted Percentage': '0.11'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: Module 07.01, COVIDVA1, is 7, 9 or missing; or Module 07.02, COVACGET, is not missing', 'Frequency': '320,385', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,7
